hotel_id,name,location,coordinates,star_rating,review_score,review_count,property_type,distance_to_center,distance_to_airport,chain_brand,amenities,sustainability_rating,city,country
H00023,Central Vienna House,"Vienna, Austria","[48.243705, 16.378424]",3.0,8.7,92,Resort,13.8,25.6,Radisson,"Beach Access,Room Service,Airport Shuttle,Breakfast,Conference Rooms,Air Conditioning,Business Center,Restaurant,WiFi,Pool,Balcony,24h Front Desk",4.5,Vienna,Austria
H00024,Barcelona Central House,"Barcelona, Spain","[41.327951, 2.227553]",4.0,9.7,534,Apartment,6.1,19.0,Hilton,"Bar,Laundry,Kitchen,Concierge,WiFi,Pool,Breakfast,Pet Friendly,Gym,Conference Rooms,Air Conditioning,Beach Access,24h Front Desk",4.7,Barcelona,Spain
H00025,Central Dubai House,"Dubai, UAE","[25.276668, 55.271165]",4.0,9.9,1906,Hostel,1.2,17.3,Ibis,"Room Service,Business Center,Spa,Pet Friendly,Concierge,Parking,Balcony,Gym,Kitchen,24h Front Desk,Airport Shuttle,Beach Access,WiFi",3.3,Dubai,UAE
H00026,Amsterdam Garden Inn,"Amsterdam, Netherlands","[52.355759, 5.019833]",2.0,6.7,202,Hotel,5.2,25.8,Hampton Inn,"Conference Rooms,Bar,Spa,24h Front Desk,Pool",2.4,Amsterdam,Netherlands
H00027,Abbott-Munoz Inn,"Amsterdam, Netherlands","[52.445619, 4.910528]",3.0,8.7,80,Hotel,2.3,46.4,Best Western,"Business Center,WiFi,Room Service,24h Front Desk,Airport Shuttle,Restaurant",3.9,Amsterdam,Netherlands
H00028,Bangkok Silver Lodge,"Bangkok, Thailand","[13.787996, 100.400543]",5.0,10.0,2378,Hotel,0.1,8.3,InterContinental,"24h Front Desk,Kitchen,Airport Shuttle,WiFi,Spa,Laundry,Restaurant,Gym,Parking,Concierge,Balcony,Pool,Room Service,Beach Access",4.9,Bangkok,Thailand
H00029,Blair PLC Lodge,"Singapore, Singapore","[1.313509, 103.902865]",5.0,9.8,432,Hotel,3.8,12.4,Holiday Inn,"Breakfast,Room Service,Conference Rooms,Pool,Concierge,WiFi,Kitchen,24h Front Desk,Air Conditioning,Airport Shuttle,Spa,Bar,Beach Access,Laundry",4.8,Singapore,Singapore
H00030,Crown Tokyo Suites,"Tokyo, Japan","[35.722093, 139.756408]",4.0,9.7,652,Apartment,0.0,12.2,Sheraton,"Parking,Balcony,Beach Access,Concierge,Airport Shuttle,Room Service,Pet Friendly,Restaurant,Conference Rooms,Gym",1.5,Tokyo,Japan
H00031,São Paulo Silver Lodge,"São Paulo, Brazil","[-23.56237, -46.5397]",2.0,7.6,384,Hotel,1.7,41.3,Holiday Inn,"Breakfast,Parking,24h Front Desk,WiFi",3.5,São Paulo,Brazil
H00032,Dudley Group Resort,"Los Angeles, USA","[33.980693, -118.171636]",2.0,6.9,419,Hotel,0.2,34.1,Hyatt,"Laundry,Beach Access,Room Service,Balcony,Air Conditioning,24h Front Desk",3.6,Los Angeles,USA
H00033,Grand Vienna Resort,"Vienna, Austria","[48.240558, 16.380105]",2.0,6.7,618,Hotel,2.4,23.5,Four Seasons,"Balcony,Airport Shuttle,Gym,Business Center,Parking,Spa,24h Front Desk,Laundry",4.8,Vienna,Austria
H00034,Arnold Ltd House,"São Paulo, Brazil","[-23.521084, -46.61925]",5.0,9.7,110,Hotel,5.1,20.4,InterContinental,"Gym,Laundry,Concierge,Room Service,24h Front Desk,Business Center,Balcony,Spa,Beach Access,Airport Shuttle,WiFi,Pool,Kitchen,Conference Rooms,Breakfast,Restaurant",2.1,São Paulo,Brazil
H00035,Mcclure Ward and Lee Resort,"Los Angeles, USA","[34.099801, -118.171072]",3.0,8.6,1464,Hotel,0.6,32.5,Four Seasons,"Restaurant,Laundry,Balcony,Airport Shuttle,Breakfast,Parking,Concierge,Pet Friendly,Conference Rooms,Room Service",5.0,Los Angeles,USA
H00036,Los Angeles Imperial Resort,"Los Angeles, USA","[34.082719, -118.179817]",4.0,8.9,500,Apartment,0.3,20.6,Novotel,"Conference Rooms,Business Center,Beach Access,Balcony,Air Conditioning,Airport Shuttle,Spa,Restaurant,Breakfast,Pool,24h Front Desk,Concierge,Parking,Gym,Room Service",4.6,Los Angeles,USA
H00037,Williams and Sons Suites,"Berlin, Germany","[52.493841, 13.452457]",4.0,9.1,13,Villa,0.3,28.2,Four Seasons,"Room Service,Gym,Concierge,Kitchen,Airport Shuttle,Conference Rooms,Business Center,Beach Access,WiFi,Spa,24h Front Desk,Parking,Pet Friendly",4.8,Berlin,Germany
H00038,London Imperial House,"London, UK","[51.500893, -0.168711]",4.0,10.0,416,Apartment,4.7,13.0,Accor,"Pet Friendly,Parking,24h Front Desk,Concierge,Business Center,Air Conditioning,Spa,Restaurant,Room Service,Laundry,WiFi,Beach Access,Bar,Airport Shuttle",4.2,London,UK
H00039,Berlin Plaza Suites,"Berlin, Germany","[52.485043, 13.404559]",2.0,6.6,1311,Hotel,0.4,29.1,Holiday Inn,"Beach Access,Kitchen,WiFi,24h Front Desk,Breakfast,Pool,Airport Shuttle,Room Service,Gym",3.5,Berlin,Germany
H00040,Galloway-Wyatt Hotel,"Rome, Italy","[41.874614, 12.508648]",3.0,8.1,67,Hotel,0.3,33.7,Best Western,"Laundry,Airport Shuttle,Breakfast,24h Front Desk,Conference Rooms,Balcony,Concierge,Room Service,Restaurant,Pool",4.9,Rome,Italy
H00041,Amsterdam Palace Suites,"Amsterdam, Netherlands","[52.425318, 4.880231]",3.0,8.1,78,Apartment,2.5,33.6,Courtyard,"Gym,Pool,WiFi,Business Center,Room Service,Concierge,Kitchen,Parking,Beach Access,Spa,Pet Friendly",1.4,Amsterdam,Netherlands
H00042,James Group Resort,"Dubai, UAE","[25.196803, 55.269874]",4.0,9.1,69,Hotel,9.8,32.7,InterContinental,"Bar,Spa,Beach Access,Parking,Breakfast,Balcony,WiFi,Restaurant,Laundry,Airport Shuttle,Room Service,Pet Friendly,Air Conditioning,Concierge",2.5,Dubai,UAE
H00043,Flowers Martin and Kelly House,"Vienna, Austria","[48.19104, 16.396684]",3.0,8.4,4461,Hotel,2.4,25.2,Four Seasons,"Beach Access,Spa,Pool,Pet Friendly,Concierge,Airport Shuttle,Bar,Kitchen,Conference Rooms,Laundry",3.5,Vienna,Austria
H00044,Adams Zuniga and Wong Suites,"Tokyo, Japan","[35.7011, 139.757959]",4.0,8.8,1053,Resort,1.0,34.8,Accor,"Concierge,Pet Friendly,Laundry,Restaurant,Beach Access,Gym,Breakfast,Conference Rooms,Airport Shuttle,Balcony,Parking",1.8,Tokyo,Japan
H00045,Sydney Central Resort,"Sydney, Australia","[-33.81717, 151.118793]",4.0,8.2,2017,Resort,0.5,11.8,Four Seasons,"Breakfast,Conference Rooms,Airport Shuttle,Business Center,Gym,Restaurant,Balcony,Spa,Concierge,Parking,Kitchen,Room Service",4.7,Sydney,Australia
H00046,Reid Ferguson and Sanchez Suites,"Rome, Italy","[41.994373, 12.555372]",5.0,9.8,5000,Hotel,10.5,14.0,Accor,"Pet Friendly,Conference Rooms,Airport Shuttle,Breakfast,Balcony,Air Conditioning,WiFi,Laundry,Spa,Pool,Beach Access,Room Service,Business Center,Restaurant,Kitchen",4.4,Rome,Italy
H00047,Gray-Mayo Inn,"London, UK","[51.384787, -0.172865]",5.0,9.9,3000,Apartment,24.5,25.1,Accor,"Gym,Parking,Business Center,24h Front Desk,Kitchen,Restaurant,Airport Shuttle,Breakfast,Bar,Air Conditioning,Conference Rooms,Balcony,Pet Friendly,Spa",4.1,London,UK
H00048,Barcelona Silver House,"Barcelona, Spain","[41.387449, 2.150897]",5.0,10.0,898,Resort,2.9,30.4,Ritz-Carlton,"Parking,Conference Rooms,Business Center,Spa,Room Service,Bar,Pool,Pet Friendly,Breakfast,Gym,Balcony,Beach Access",2.4,Barcelona,Spain
H00049,Grand São Paulo Lodge,"São Paulo, Brazil","[-23.538383, -46.53093]",3.0,8.5,1720,Hotel,2.5,22.5,Hampton Inn,"Parking,Spa,Room Service,Beach Access,Business Center,Bar,Gym,Restaurant,WiFi,Conference Rooms,Concierge,24h Front Desk",1.5,São Paulo,Brazil
H00050,Berlin Grand Inn,"Berlin, Germany","[52.568579, 13.437269]",2.0,8.3,730,Hotel,1.3,21.6,Four Seasons,"Air Conditioning,Spa,WiFi,Parking,Beach Access",3.4,Berlin,Germany
H00051,Watts Robinson and Nguyen Resort,"Tokyo, Japan","[35.720503, 139.643446]",3.0,8.5,1377,Hotel,2.9,8.0,Radisson,"Gym,24h Front Desk,Air Conditioning,Beach Access",2.8,Tokyo,Japan
H00052,Silver Mumbai Suites,"Mumbai, India","[19.073223, 72.774328]",5.0,10.0,1505,Hotel,0.4,24.2,Hampton Inn,"Parking,Gym,Business Center,Spa,Concierge,Beach Access,Laundry,24h Front Desk,Air Conditioning,Balcony,Conference Rooms,Room Service,Kitchen,Airport Shuttle",1.6,Mumbai,India
H00053,Imperial Mumbai Lodge,"Mumbai, India","[19.020937, 72.902084]",3.0,8.8,578,Resort,0.6,19.7,Hyatt,"Beach Access,Pool,Spa,Room Service,Balcony,Restaurant,Airport Shuttle,Breakfast",1.7,Mumbai,India
H00054,Premier Madrid Inn,"Madrid, Spain","[40.377156, -3.709152]",2.0,7.1,138,Resort,0.1,2.2,Accor,"WiFi,Concierge,Laundry,Air Conditioning,Parking,Beach Access",4.2,Madrid,Spain
H00055,Plaza New York Lodge,"New York, USA","[40.755368, -74.037018]",4.0,8.8,281,Hotel,2.0,9.8,W Hotels,"Business Center,Conference Rooms,Room Service,Concierge,Spa,Breakfast,Air Conditioning,Airport Shuttle,Gym,Restaurant,Pet Friendly,Pool,WiFi",2.9,New York,USA
H00056,Grand Vienna Suites,"Vienna, Austria","[48.276544, 16.402628]",4.0,9.4,860,Hotel,2.3,25.8,Holiday Inn,"Laundry,Spa,Beach Access,Parking,24h Front Desk,Restaurant,Conference Rooms,Concierge,Business Center,Pet Friendly",2.0,Vienna,Austria
H00057,Perez House,"São Paulo, Brazil","[-23.559845, -46.63569]",3.0,7.9,357,Hotel,6.6,41.9,Sheraton,"Conference Rooms,WiFi,Gym,Business Center,Breakfast,24h Front Desk,Airport Shuttle",4.2,São Paulo,Brazil
H00058,Miami Royal House,"Miami, USA","[25.805782, -80.187932]",4.0,8.8,1060,Hotel,1.0,40.8,Sheraton,"Balcony,Laundry,Conference Rooms,Bar,Concierge,Airport Shuttle,Air Conditioning,Business Center,Pool,24h Front Desk,Beach Access",2.5,Miami,USA
H00059,Morales-Jones Hotel,"Prague, Czech Republic","[49.979811, 14.484864]",4.0,9.2,324,Hotel,0.5,18.5,St. Regis,"Concierge,Air Conditioning,Parking,24h Front Desk,Pool,Business Center,Breakfast,Bar,Restaurant,Balcony,Beach Access,Room Service",1.7,Prague,Czech Republic
H00060,Los Angeles Plaza Lodge,"Los Angeles, USA","[34.027844, -118.241274]",3.0,8.0,475,Hostel,5.1,24.2,Radisson,"Concierge,Pool,Room Service,Balcony,Pet Friendly,Parking,24h Front Desk,Business Center,Airport Shuttle",2.0,Los Angeles,USA
H00061,Royal Vienna Suites,"Vienna, Austria","[48.234616, 16.384175]",3.0,9.4,295,Apartment,0.6,17.4,InterContinental,"Laundry,Air Conditioning,Spa,WiFi,Business Center,Pet Friendly,Gym,Restaurant,Conference Rooms,Balcony,Beach Access,Room Service",3.0,Vienna,Austria
H00062,Berlin Garden Lodge,"Berlin, Germany","[52.429756, 13.417986]",3.0,7.9,306,Hotel,2.3,27.7,Radisson,"Air Conditioning,Parking,Balcony,Conference Rooms,Concierge,Beach Access",1.2,Berlin,Germany
H00063,Grand Singapore Inn,"Singapore, Singapore","[1.322002, 103.857813]",3.0,9.0,814,Hotel,1.6,30.8,Hampton Inn,"Room Service,Balcony,Restaurant,Gym,Conference Rooms,24h Front Desk,Laundry,Beach Access,Bar,Air Conditioning",4.3,Singapore,Singapore
H00064,Mumbai Park Hotel,"Mumbai, India","[19.065848, 72.896257]",5.0,9.7,4179,Apartment,0.5,40.8,Holiday Inn,"Breakfast,Air Conditioning,Restaurant,Laundry,Beach Access,Bar,Balcony,Conference Rooms,24h Front Desk,Room Service,Business Center,Concierge,Spa,Pet Friendly,Pool",4.2,Mumbai,India
H00065,Garden Miami Hotel,"Miami, USA","[25.745776, -80.207753]",3.0,8.7,666,Hotel,6.3,37.0,Radisson,"24h Front Desk,Beach Access,Restaurant,Air Conditioning,Pool,Gym,Conference Rooms,Parking,Bar,Balcony,Business Center",2.8,Miami,USA
H00066,Sydney Royal House,"Sydney, Australia","[-33.889204, 151.11576]",3.0,8.2,1239,Hostel,1.5,25.2,Holiday Inn,"Restaurant,Gym,Air Conditioning,Conference Rooms,Airport Shuttle",3.2,Sydney,Australia
H00067,Walter Edwards and Rios Hotel,"Istanbul, Turkey","[40.963959, 28.992747]",5.0,10.0,611,Hotel,4.7,31.3,Hilton,"24h Front Desk,Airport Shuttle,Air Conditioning,Pool,Gym,Spa,Breakfast,Concierge,Restaurant,Laundry,Balcony,Room Service,Parking,Conference Rooms,Bar,WiFi",4.6,Istanbul,Turkey
H00068,Wilkerson-Day Resort,"Prague, Czech Republic","[50.189035, 14.414832]",4.0,8.8,342,Hostel,1.3,29.0,Four Seasons,"Pool,Parking,Pet Friendly,Kitchen,Concierge,Gym,Spa,Conference Rooms,Room Service,Breakfast,Laundry,Airport Shuttle,24h Front Desk,WiFi,Restaurant",4.3,Prague,Czech Republic
H00069,Garden Mumbai Inn,"Mumbai, India","[19.140349, 72.855468]",3.0,8.2,1152,Resort,3.1,29.1,St. Regis,"Restaurant,Business Center,Laundry,Conference Rooms,Kitchen,Beach Access,Airport Shuttle",2.0,Mumbai,India
H00070,Park Madrid House,"Madrid, Spain","[40.51064, -3.792736]",3.0,9.1,557,Resort,0.1,51.4,Four Seasons,"Gym,Laundry,Pet Friendly,Parking,Concierge,Kitchen,Restaurant,Business Center,Air Conditioning",4.5,Madrid,Spain
H00071,Tokyo Central Resort,"Tokyo, Japan","[35.765308, 139.679814]",5.0,10.0,248,Hotel,2.8,40.9,Westin,"Business Center,24h Front Desk,Pet Friendly,Parking,Balcony,WiFi,Concierge,Airport Shuttle,Room Service,Restaurant,Laundry,Air Conditioning,Beach Access,Kitchen,Gym",4.7,Tokyo,Japan
H00072,Baker and Sons House,"São Paulo, Brazil","[-23.576061, -46.68278]",5.0,9.9,5000,Hotel,0.2,30.2,Sheraton,"Conference Rooms,Restaurant,Spa,Pool,Parking,24h Front Desk,Business Center,WiFi,Air Conditioning,Bar,Gym,Balcony,Breakfast,Pet Friendly,Airport Shuttle,Kitchen,Beach Access,Laundry,Room Service,Concierge",2.3,São Paulo,Brazil
H00073,Royal Barcelona Suites,"Barcelona, Spain","[41.427712, 2.057363]",5.0,9.9,639,Resort,1.8,22.4,Best Western,"Air Conditioning,Parking,Airport Shuttle,Spa,Laundry,Pool,Gym,24h Front Desk,Balcony,Kitchen,Room Service,Conference Rooms,Bar,WiFi,Pet Friendly,Breakfast",1.6,Barcelona,Spain
H00074,Royal Barcelona Manor,"Barcelona, Spain","[41.309943, 2.038556]",3.0,8.4,2216,Resort,0.0,6.6,Accor,"Breakfast,24h Front Desk,Pet Friendly,Spa,Business Center,Air Conditioning,WiFi,Parking,Conference Rooms,Bar,Beach Access",3.7,Barcelona,Spain
H00075,Golden Vienna Resort,"Vienna, Austria","[48.168244, 16.365573]",3.0,8.4,814,Hotel,4.2,27.0,Novotel,"Concierge,Spa,Restaurant,Pool,Balcony,Kitchen,Business Center,Air Conditioning,24h Front Desk",1.8,Vienna,Austria
H00076,Central Los Angeles Resort,"Los Angeles, USA","[34.044982, -118.245338]",3.0,8.1,748,Hotel,1.5,-1.6,Accor,"Pet Friendly,Kitchen,Concierge,Restaurant,Breakfast,Airport Shuttle,Pool,Business Center,Parking,Room Service,Balcony",3.2,Los Angeles,USA
H00077,Hoffman Baker and Richards Hotel,"Los Angeles, USA","[34.066692, -118.256441]",3.0,8.3,284,Resort,1.6,34.4,Westin,"Business Center,Pet Friendly,Spa,Breakfast,Balcony,WiFi,Room Service,Restaurant,Kitchen,Pool",1.1,Los Angeles,USA
H00078,Ross Robinson and Bright Lodge,"São Paulo, Brazil","[-23.486922, -46.597216]",3.0,7.8,17,Hotel,3.2,23.7,Westin,"WiFi,Pool,Airport Shuttle,Business Center,Restaurant,24h Front Desk,Parking,Spa,Breakfast",2.0,São Paulo,Brazil
H00079,Snyder Campos and Callahan Hotel,"Amsterdam, Netherlands","[52.408293, 4.857079]",2.0,7.7,303,Resort,0.7,30.9,Marriott,"Airport Shuttle,Restaurant,WiFi,Conference Rooms,Breakfast,Gym",1.1,Amsterdam,Netherlands
H00080,Berlin Plaza Hotel,"Berlin, Germany","[52.504523, 13.421307]",2.0,7.0,328,Hotel,2.7,16.8,Radisson,"WiFi,Pet Friendly,Business Center",2.1,Berlin,Germany
H00081,Sydney Silver Hotel,"Sydney, Australia","[-33.806465, 151.100806]",4.0,8.3,3558,Apartment,0.5,24.6,Ritz-Carlton,"Balcony,Spa,Gym,Air Conditioning,Laundry,24h Front Desk,Bar,Conference Rooms,Parking,Pool",4.6,Sydney,Australia
H00082,Silver Vienna Manor,"Vienna, Austria","[48.263365, 16.355619]",4.0,9.2,375,Hotel,0.5,31.7,W Hotels,"Laundry,WiFi,Pool,Air Conditioning,24h Front Desk,Room Service,Airport Shuttle,Kitchen,Business Center,Pet Friendly,Balcony,Parking,Bar,Restaurant,Conference Rooms,Breakfast",4.3,Vienna,Austria
H00083,Istanbul Park Manor,"Istanbul, Turkey","[40.943778, 28.983441]",5.0,9.2,1211,Resort,5.3,27.6,InterContinental,"Airport Shuttle,24h Front Desk,Balcony,Parking,Laundry,Conference Rooms,Kitchen,Room Service,Pool,Pet Friendly,Air Conditioning,Spa,Breakfast,Concierge,Beach Access,Business Center",3.4,Istanbul,Turkey
H00084,Burton Ltd Inn,"Prague, Czech Republic","[50.124635, 14.345756]",4.0,8.6,878,Resort,0.8,27.0,Radisson,"Concierge,Airport Shuttle,Conference Rooms,Pet Friendly,Restaurant,Breakfast,Business Center,Pool,24h Front Desk,Balcony,Laundry",2.6,Prague,Czech Republic
H00085,Carlson-Cruz House,"Istanbul, Turkey","[41.075266, 28.934211]",3.0,8.7,581,Resort,8.3,16.4,Ibis,"Pool,Breakfast,Kitchen,Airport Shuttle,Spa",1.1,Istanbul,Turkey
H00086,Garden Paris Resort,"Paris, France","[48.891615, 2.323418]",3.0,8.5,617,Apartment,0.3,34.9,InterContinental,"Parking,Beach Access,Pet Friendly,Spa,Room Service",1.3,Paris,France
H00087,Crown Dubai House,"Dubai, UAE","[25.303551, 55.268437]",4.0,8.4,2051,Apartment,3.6,31.2,Courtyard,"Kitchen,Pet Friendly,Spa,Conference Rooms,Business Center,24h Front Desk,Room Service,Balcony,Parking,Breakfast,Laundry",2.4,Dubai,UAE
H00088,London Imperial Manor,"London, UK","[51.428889, -0.131522]",2.0,7.9,122,Resort,4.9,26.2,Marriott,"Bar,Conference Rooms,Parking,Airport Shuttle,Pet Friendly,WiFi,Gym,Concierge",3.6,London,UK
H00089,Ferrell Rice and Maddox Resort,"New York, USA","[40.690113, -73.974353]",4.0,8.4,5000,Villa,0.1,29.3,Sheraton,"Balcony,Room Service,24h Front Desk,Concierge,Laundry,Bar,Gym,Air Conditioning,Restaurant,Kitchen,Parking",1.7,New York,USA
H00090,São Paulo Crown Lodge,"São Paulo, Brazil","[-23.540116, -46.687353]",4.0,9.7,3098,Apartment,1.2,24.2,Four Seasons,"Pool,Gym,Conference Rooms,Laundry,Concierge,Business Center,Parking,Balcony,Room Service,Restaurant,Spa,Kitchen,Beach Access,Breakfast",4.3,São Paulo,Brazil
H00091,Frazier House,"Bangkok, Thailand","[13.686042, 100.526852]",2.0,7.1,774,Hotel,1.1,39.5,Courtyard,"Parking,Pool,Business Center,24h Front Desk,Breakfast,WiFi,Spa,Restaurant",2.3,Bangkok,Thailand
H00092,Premier Vienna Hotel,"Vienna, Austria","[48.218028, 16.387153]",4.0,9.6,318,Apartment,18.5,25.5,Ibis,"Airport Shuttle,Spa,WiFi,Air Conditioning,Concierge,Gym,Laundry,Room Service,Conference Rooms,Breakfast,Pet Friendly,Parking,Bar",2.4,Vienna,Austria
H00093,London Silver Suites,"London, UK","[51.481907, -0.252031]",4.0,9.7,4968,Apartment,1.6,40.8,Best Western,"Laundry,Gym,Airport Shuttle,Concierge,24h Front Desk,Pet Friendly,Kitchen,Room Service,Restaurant,Pool,Air Conditioning,WiFi",2.0,London,UK
H00094,New York Plaza Manor,"New York, USA","[40.686657, -74.073223]",3.0,7.9,316,Resort,0.7,12.9,Holiday Inn,"Concierge,Spa,Business Center,Beach Access,24h Front Desk",4.8,New York,USA
H00095,Dyer Potter and Mack House,"Amsterdam, Netherlands","[52.359314, 4.862821]",4.0,10.0,219,B&B,0.8,26.7,Radisson,"Airport Shuttle,Bar,Gym,Balcony,Spa,Conference Rooms,Laundry,Air Conditioning,Breakfast,Pet Friendly",3.4,Amsterdam,Netherlands
